Ville	Chomage	ChomageJeunes	ChomageLong	EvoluEmploiCree	Activite	EmploiFeminin	EmploiCommune	DefaillEntreprise	SalaireAnnuel	Criminalite	EvolutionCrimes	SecuriteRoutiere	Inondations	TerrainsPollues	UsinesRisques	MortaliteInfantile	MortaliteCancerPoumon	MortaliteAlcool	DecesInfarctus	TauxSuicide	MortaliteGlobale	TailleClassesPrimaires	Retard6eme	Retard3eme	RetardTerminale	MetreCarreAncien	TaxeHabitation	FoncierBati	MetreCubeEau	Proprietaires	LogtSup4pieces	LogtInsalubre	LogtVacant	LogtConstruction	Mer	Ski	Soleil	Pluie	Temperature	MarcheAPied	Musees	Cinema	MonumHistoriques	PretLivres	RestaurDistingues	Presse	Etudiants	ImpotRevenu	ImpotFortune	Imposables	EvolDemographique	Vieillissement	AttiranceGlobale	AttiranceActifs
Mulhouse	0.164	0.214	0.500	0.070	0.460	0.460	0.500	0.180	17346	113.700	0.035	2.500	6	13	1	5.000	50.800	48.300	106.400	17.400	957.900	23.700	0.068	0.104	0.172	852	16.650	21.100	2.800	0.330	0.460	0.025	0.100	0.001	1	2	1768	122.700	10.100	0.100	7	4.400	5	3.500	1.000	19.000	0.070	1212	0.006	49	0.018	0.260	0.270	0.320
Nancy	0.139	0.120	0.520	0.010	0.440	0.530	0.490	0.170	20296	86.200	-0.017	4.100	9	10	0	4.800	52.500	47.400	63.500	18.100	867.200	24.100	0.043	0.082	0.220	993	18.220	19.460	3.040	0.250	0.320	0.020	0.120	0.007	1	2	1652	124.500	9.600	0.180	4	4.800	72	5.100	0.000	20.400	0.280	1865	0.011	55	0.043	0.350	0.450	0.470
Nantes	0.178	0.118	0.580	0.060	0.450	0.500	0.560	0.130	20229	98.000	-0.040	3.400	5	7	1	4.000	36.900	43.000	68.400	21.500	741.100	24.200	0.062	0.113	0.199	1162	20.500	23.450	2.510	0.360	0.390	0.009	0.060	0.010	2	1	1956	117.600	11.900	0.080	5	5.900	23	4.100	1.000	16.200	0.160	1539	0.009	53	0.103	0.330	0.370	0.420
NeuillySurSeine	0.086	0.078	0.500	0.030	0.440	0.550	0.230	0.110	49586	65.600	0.079	0.700	6	0	0	4.400	22.900	12.900	60.600	21.360	561.300	27.400	0.014	0.047	0.058	5031	3.940	1.920	3.100	0.440	0.400	0.038	0.090	0.004	2	1	1798	111.600	11.700	0.090	0	1.500	2	3.200	1.000	24.400	0.030	14217	0.169	81	-0.031	0.610	0.390	0.480
Nevers	0.160	0.168	0.570	0.050	0.440	0.510	0.630	0.170	17460	83.700	0.088	1.900	1	3	0	5.200	41.000	51.500	78.500	28.200	820.600	21.100	0.076	0.109	0.213	707	20.710	28.200	2.910	0.370	0.470	0.022	0.100	0.004	1	1	1851	125.100	10.300	0.160	2	3.100	18	3.100	1.000	20.100	0.040	1170	0.005	52	-0.025	0.430	0.320	0.380
Nice	0.158	0.168	0.510	0.040	0.410	0.490	0.670	0.160	18491	123.700	0.203	7.000	19	4	0	3.200	40.300	27.100	54.400	21.360	762.800	24.100	0.048	0.107	0.171	1527	18.580	20.140	3.030	0.460	0.240	0.011	0.130	0.004	3	2	2694	62.600	15.300	0.130	12	3.400	28	2.400	2.000	20.000	0.090	1476	0.012	53	0.001	0.640	0.210	0.250
Nimes	0.228	0.160	0.610	0.070	0.420	0.470	0.640	0.150	17758	129.300	-0.029	6.400	10	2	0	2.800	34.400	29.600	74.600	20.700	766.100	23.800	0.045	0.120	0.222	795	29.330	31.050	2.640	0.400	0.480	0.007	0.120	0.009	2	1	2669	67.300	14.400	0.150	4	4.900	13	4.900	0.000	18.500	0.060	1210	0.007	45	0.039	0.400	0.280	0.330
Niort	0.148	0.165	0.590	0.060	0.470	0.510	0.660	0.190	19196	77.900	0.149	2.000	7	6	1	6.200	31.900	34.500	52.500	19.700	737.400	22.800	0.024	0.079	0.198	779	19.190	26.460	2.640	0.460	0.580	0.008	0.100	0.005	2	1	1934	121.000	12.200	0.100	1	4.500	3	3.000	0.000	21.100	0.040	1408	0.006	54	-0.006	0.450	0.310	0.360
Orleans	0.129	0.149	0.520	0.100	0.480	0.530	0.510	0.120	19579	101.100	-0.011	3.400	2	1	0	6.600	35.800	29.800	59.800	16.300	676.700	22.800	0.072	0.117	0.180	1052	20.990	29.810	2.440	0.340	0.420	0.009	0.080	0.006	1	1	1805	113.500	10.600	0.130	2	3.700	30	5.200	1.000	17.000	0.150	1611	0.009	58	0.076	0.280	0.390	0.450
Paris	0.120	0.089	0.500	0.040	0.530	0.500	0.610	0.140	28694	139.100	0.055	5.700	4	9	0	5.200	38.300	26.100	61.200	21.360	717.000	24.800	0.042	0.106	0.218	2973	8.800	7.110	2.380	0.300	0.210	0.055	0.100	0.004	1	1	1798	111.600	11.700	0.090	68	5.100	416	3.800	73.000	32.800	0.130	4408	0.036	67	-0.013	0.430	0.300	0.350
